id,file,emotion,text,summary_2para
195,195.wav,Trust," Salam Wala Raja! Teru tangan buat semuanya Sari berlari, sore berlari Teruslah berlari, bengkelin-bingkelin Ayo semangat para atlete negeri Semoga bisa bawa pulak biara kropi Para atlete, mari kita sama-sama panjatkan Tujuh suku kita, keadaan Allah semana-wata Lakukan yang mahu kuasa Hari ini kita sama-sama melakukan Pelepasan Kontingen Atlet Jakarta Pusat Untuk mengikuti Pekat Orang Pelajar Provinsi Dan Pekat Orang Pelajar Provinsi Dekat Jakarta tahun 2025 Di kesempatan yang baik ini Saya ingin menyampaikan dihadapan 360 atlet Jakarta Pusat Dan juga 56 para pelati dan asisten pelajar Pelati dan asisten pelati Yang tentunya saya berharap kepada semuanya Agar tentunya bisa memberikan kebanggaan Untuk kota Jakarta Pusat Saya berharap Anda semua para atlet Para pelati, asisten pelati Dapat mengharumkan Nama kota Jakarta Pusat Ditingkat Provinsi DKI Jakarta Saya yakin dan percaya bahwa Anda semua adalah Perwakilan atlet-atlet yang terbaik Yang telah melewati proses reaksi Dan latihan yang sangat keras Jakarta Pusat Semangat Interen, Semangat Jokim","Dalam percakapan yang memfokuskan pada pelepasan kontingen atlet Jakarta Pusat untuk mengikuti Pekat Orang Pelajar Provinsi dan Pekat Orang Pelajar Provinsi dekat Jakarta pada tahun 2025, Wali Kota Raja menekankan harapan tinggi untuk prestasi terbaik dari semua atlet, pelatih, dan asisten. Wali Kota mengingatkan tentang pentingnya semangat persaingan dan kerja keras dalam meraih kesuksesan. Acara tersebut melibatkan sekitar 360 atlet dan 56 pelatih serta asisten dari Jakarta Pusat, siap bersaing di tingkat provinsi.
Hasil akhir dari pertemuan ini adalah persiapan yang matang dari pihak kota Jakarta Pusat untuk mendukung atlet-atlet muda mereka dalam kompetisi bergengsi tersebut. Dengan dukungan moral dari Wali Kota dan persiapan yang cermat, diharapkan bahwa kontingen Jakarta Pusat akan dapat menunjukkan performa terbaik dan meningkatkan prestasi olahraga kota mereka di tingkat provinsi."
196,196.wav,Trust," Jadi ini benar-benar kita ingin memastikan kita bisa mengirim update yang siap untuk di SEA Games Desember nanti. Kemenpora membuka seleksi nasional untuk 3 cabang olahraga yang akan dipertandingkan di SEA Games 2025. Kita akan membuka seleksi nasional untuk atas di seluruh Indonesia untuk 3 cabang olahraga. Ada yang itu tennis beja, tinju, dan sepang takraw. Ini kita dapat seleksi nasional pertama-tama untuk dalam perangkat persiapan SEA Games. Kenapa kemenpora melakukan seleksi nasional? Karena memang di masing-masing cabang olahraga ini ada pendala-pendala dan isu yang saya rasa perangkat media olahraga sudah memahami. Tapi yang namanya multi-event kita tahu bahwa itu adalah partisipasi negara. Jadi kali ini kami mengambil sikap. Kita tidak mau mengorbankan para atlet maupun para pelati yang sama ini sudah berlatih mempersiapkan diri. Tapi karena ada kendala-kendala yang di luar kepelatihan dan atlet, jadi tidak bisa berakal menuju multi-event. Dan nanti seleksi ini terbuka untuk siapapun yang atlet pastinya. Atlet dimasak-masak olahraga dan pasti ada kriteria dari sisi pernah berprestasi, nanti kriterinya disediakan tapi yang pasti tidak melihat dari federasi mana atau versi siapa. Jadi ini benar-benar kita ingin memastikan kita bisa mengirim atlet yang siap untuk di SEA Games Desember nanti. Semoga seleksi nasional ini bisa disebarkan ke seluruh insan olahraga Indonesia.","Kementerian Pemuda dan Olahraga (Kemenpora) telah membuka seleksi nasional untuk tiga cabang olahraga yaitu tennis beja, tinju, dan sepang takraw, yang akan dipertandingkan di SEA Games 2025. Seleksi ini dilakukan dengan tujuan memastikan tim yang siap menghadapi kompetisi internasional pada Desember 2025, sambil mengatasi kendala luar lapangan yang menghambat persiapan atlet. Proses seleksi ini tidak memandang federasi asal atau prestasi sebelumnya, tetapi fokus pada kualitas atlet yang akan dikirim ke SEA Games."
197,197.wav,Trust," Alhamdulillah, ya Allah. Seja point hari ini kita melaju ke depan. Seperti yang saya katakan, pengen membuatkan berputar segalanya untuk Indonesia. Terima kasih, ya Allah.","Kita hari ini membahas kemajuan proyek-proyek penting dan rencana strategis untuk memajukan Indonesia. Pembicara menekankan pentingnya kerjasama antar pihak serta doa dalam mencapai tujuan tersebut, sambil mengungkapkan rasa syukur atas capaian yang telah diraih. Dia juga menyampaikan komitmen kuat untuk menggerakkan semua aspek kehidupan demi kemajuan negara, termasuk ekonomi, sosial, dan politik.
Hasil akhir dari diskusi ini adalah kesepakatan untuk terus bekerja sama dan berdoa untuk mencapai tujuan bersama, serta komitmen untuk mengimplementasikan rencana strategis secara komprehensif untuk memajukan Indonesia."
198,198.wav,Surprise," Bersama Mas Mokles Jibran, menutup Fornas Ke-8 Inti di Tahun 2025 MTB Makmur Men Dunia bukan lagi sekedar slogan tapi benar-benar terasa dan terbukti di setiap momen Fornas kali ini Event kali ini memiliki temen yang sangat keren Kalah menang semua senang, bener gak nih peserta di sini? Semua senang Jadi Fornas ini seperti nasi tumpeng Isinya macam-macam dari remaja hingga lansia Dari olahraga tradisi hingga rekreasi Dari Sabang sampai Merauke tapi semuanya punya satu rasa Rasa cinta pada bangsa, rasa cinta pada olahraga Kalah menang itu biasa Yang penting seluruh peserta bisa bergembira Bisa bertemu dengan saudara-saudara sebangsa dan setanah air Fornas ini selain membawa kegembiraan juga memberikan dampak perputaran ekonomi yang besar Ini kalau diperkirakan mencapai 150an M Mulai dari penerbangan, hotel, konsumsi besar sekali Dan jumlah total pengunjung yang datang ke MTB karena Fornas ini berkiraannya mencapai 40an ribu orang Saya berharap Bapak Ibu, acara Fornas ini tidak hanya memberikan dampak ekonomi Tapi juga menjadi adjang kita untuk semakin merekatkan persatuan dan kesatuan Serta sebagai salah satu sarana dalam menjaga warisan kebudayaan bangsa Yang kita cintai ini Berlayar dari kayangan ke gili Membawa semangat dari timur negeri Sampai jumpa di Fornas mendangkan nanti Kita jumpa lagi dengan semangat tinggi","Fornas Ke-8 Inti di Tahun 2025 MTB Makmur Men Dunia menghadirkan suasana meriah dengan partisipasi peserta dari berbagai usia dan latar belakang, mencakup remaja hingga lansia. Acara ini bukan hanya menyajikan olahraga tradisional dan rekreasi, tetapi juga bertujuan untuk menggalang rasa cinta pada bangsa dan olahraga. Dengan perkiraan perputaran sebesar 150 miliar rupiah dan 40 ribu pengunjung, Fornas ini memberikan dampak ekonomi yang signifikan. Selain itu, acara ini diharapkan dapat memperkuat persatuan dan kesatuan bangsa serta menjaga warisan kebudayaan.
Hasil akhir dari Fornas tersebut menunjukkan bahwa tujuan utamanya adalah untuk meningkatkan kesadaran akan olahraga tradisional dan budaya, serta mempromosikan persatuan nasional melalui olahraga dan rekreasi massal. Dengan partisipasi luas dari berbagai kalangan masyarakat, acara ini berhasil menciptakan iklim yang positif dan mendukung nilai-nilai kebangsaan."
199,199.wav,Trust," Kalo kalian tau ga sih trend Korean flush look, aku pengen coba buat itu hari ini. Basic itu makeupnya kayak blushy banget dan bibirnya itu lebih kayak bright. Ini aku udah beres makeup, jadi tinggal pake blush sama lip produknya doang. Aku mau pake my number one favorite blush product yang aku pake sudah 5 tahun plus, yaitu blush dari Tricia E. Aku mau pake siang klasik The OG yang bulet ini. Ini mood recipe face blush dan warna paling klasik yang paling terkenal ada dulu tuh ini, Roast Beige. Menurut aku ini adalah warna blush yang tidak pernah fail. Aku pake blushnya tuh bagian center pipi aku sama aku bawa dikit ke atas idung. Diat kan warnanya tuh kayak rosy warm pink. Satu lagi tuh nude peach, dia lebih kalem warnanya. Next on to the lips, aku keseringan ngeliat trend ini, lipnya itu lebih powdery matte lipstick. Jadi aku mau pake one of the most comfortable bullet matte lipstick. Ini cashmere lipsticknya Tricia E. Dan kira-kira untuk blush kayak gini. Aku mau pake shade 01 Oat dulu. Ini aku ga pake lip balm ya. Ini yang undry lips, tekstur itu very soft. Dan dia finish-nya matte, ini 04 text me. Tapi di bagian sini aku mau pakein kayak gini, kita blend dikit. Eh sumpah ini teksturnya indah banget. Gimana berhasil ga? Ini keren flash makeup ga? Ini warna yang text me. This is such a gorgeous red color. Okay I'm in love with this look. Menurut aku ini look simple banget dan bikin keliatan lebih fresh. Taro blushnya itu di bagian center sini. Terus warna lipsnya itu yang penting bright, gak harus perah juga. Cuman aku in love banget sama warna ini.","Trend Korean flush look saat ini populer dengan kombinasi blush pekat dan lipstik cerah. Penyampai menggunakan blush Roast Beige dari Tricia E. di pipi dan sedikit ke atas hidung, lalu mengaplikasikan lipstik matte Cashmere warna 04 Text Me. Tekstur lipstik sangat lembut dan memberikan hasil akhir matte yang natural. Tampilan akhirnya terlihat segar dan sederhana, dengan warna merah lipstik yang menawan. Penyampai sangat puas dengan hasil make-up ini, yang membuatnya terlihat cerah dan segar tanpa terlalu berlebihan.
Penampilan akhir yang dicapai dengan trend Korean flush look sangat memuaskan penyampai. Teknik aplikasi blush dan lipstik yang tepat menciptakan tampilan yang segar dan alami, tanpa terlihat berlebihan. Warna merah dari lipstik matte memberikan sentuhan elegan yang sempurna untuk penampilan, sementara tekstur yang lembut dari blush memberikan nuansa naturl yang harmonis. Hasil akhirnya mencerminkan gaya makeup yang modern dan minimalis, yang sangat disukai oleh penyampai."
200,200.wav,Trust," Aku mau kasih lihat kalian 3 pendempatan blush Kalian aku mau nyobain produk baru dari Chrisii Yang ini menarik banget, karena ini namanya blush lighter Ini tuh 2-in-1 blush sama highlighter, kalian bisa lihat Jadi pakenya tuh kayak digabung gitu, langsung di-mix semuanya di-pen Jadi dia teksturnya tuh yang kayak padi gitu Tau gak sih kalian yang kayak clay gitu Yang kalo misalnya dipencet tuh agak creamy gitu loh Dan disini aku punya 3 shade, seingat aku tuh mereka ada 7 shade Cuman aku akan cobain 3 ini di muka aku hari ini Pertama aku mau pake shade yang coral flush Untuk look blush yang di tulang pipi Menurut aku ini cocok banget untuk kalian yang tulang pipinya tinggi Karena pendempatan disitu tuh bikin mukanya lebih lifted Dan untuk pencinta warm blush, go with this color Nah kalo untuk yang kedua, ini cara aku pake blush itu selalu seperti ini Ini aku pake shade yang lazy talk Dan pendempatannya tuh bener-bener di center pipi kita Menurut aku ini cocok banget untuk muka kita yang lebih bulet dan pipi kita yang lebih full Untuk ketiga, aku pake shade early now Dan ini itu pendempatan blush yang ditaruhnya di bawah mata kita Jadi kayak agak drunken look gitu Dan aku taro di hidung juga biar kayak kasih efek yang lebih cute Nah menurut aku kayaknya kalo misalnya style blush yang kayak gini tuh cocok mau di muka yang bulat kayak aku Atau yang lebih berstruktur Dan aku cinta banget gaya blush kayak gini Dan karena ini ada highlighternya, kalian bisa ngeliat dia tuh tetep ada sheennya Jadi dia nggak matte dan flat di kulit kita Dan karena tekstur kayak gini, pas kalian ambil produknya dia tuh nggak terlalu berlebihan ke pick up sama brushnya Dan bisa dibuild up intensitasnya Dan langsung komen di bawah, which blush look is your favorite?","Percakapan ini membahas penggunaan blush lighter dari merek Chrisii yang memiliki dua fungsi: blush dan highlighter. Penyampai mencoba tiga shade berbeda: coral flush, lazy talk, dan early now. Coral flush digunakan untuk efek lift pada tulang pipi, lazy talk untuk wajah bulat di tengah pipi, dan early now untuk penampilan drunk look di bawah mata. Tekstur produk mirip padi dan mudah diaplikasikan tanpa terlihat berlebihan. Penggunaan produk ini memberikan sheen tanpa terlihat matte dan dapat disesuaikan ke intensitas yang diinginkan. Penyampai meminta umpan balik dari audiens tentang penampilan blush yang paling disukai.
Hasil akhirnya adalah bahwa produk ini menawarkan fleksibilitas dalam aplikasi dan variasi penampilan sesuai kebutuhan, baik itu efek lift, pencahayaan wajah bulat, atau penampilan drunk look. Audiens diberi kesempatan untuk memberikan umpan balik tentang shade mana yang paling disukai, dengan harapan dapat membantu penyampai memilih shade blush yang paling cocok untuk kebutuhan mereka."
201,201.wav,Trust," Aku mau kasih lihat kalian 3 pendempatan blush Kalian aku mau nyobain produk baru dari Chrisii Yang ini menarik banget, karena ini namanya blush lighter Ini tuh 2-in-1 blush sama highlighter, kalian bisa lihat Jadi pakenya tuh kayak digabung gitu, langsung di-mix semuanya di-pen Jadi dia teksturnya tuh yang kayak padi gitu Tau gak sih kalian yang kayak clay gitu Yang kalo misalnya dipencet tuh agak creamy gitu loh Dan disini aku punya 3 shade, seingat aku tuh mereka ada 7 shade Cuman aku akan cobain 3 ini di muka aku hari ini Pertama aku mau pake shade yang coral flush Untuk look blush yang di tulang pipi Menurut aku ini cocok banget untuk kalian yang tulang pipinya tinggi Karena pendempatan disitu tuh bikin mukanya lebih lifted Dan untuk pencinta warm blush, go with this color Nah kalo untuk yang kedua, ini cara aku pake blush itu selalu seperti ini Ini aku pake shade yang lazy talk Dan pendempatannya tuh bener-bener di center pipi kita Menurut aku ini cocok banget untuk muka kita yang lebih bulet dan pipi kita yang lebih full Untuk ketiga, aku pake shade early now Dan ini itu pendempatan blush yang ditaruhnya di bawah mata kita Jadi kayak agak drunken look gitu Dan aku taro di hidung juga biar kayak kasih efek yang lebih cute Nah menurut aku kayaknya kalo misalnya style blush yang kayak gini tuh cocok mau di muka yang bulat kayak aku Atau yang lebih berstruktur Dan aku cinta banget gaya blush kayak gini Dan karena ini ada highlighternya, kalian bisa ngeliat dia tuh tetep ada sheennya Jadi dia nggak matte dan flat di kulit kita Dan karena tekstur kayak gini, pas kalian ambil produknya dia tuh nggak terlalu berlebihan ke pick up sama brushnya Dan bisa dibuild up intensitasnya Dan langsung komen di bawah, which blush look is your favorite?","Percakapan ini membahas penggunaan blush lighter dari merek Chrisii yang memiliki dua fungsi: blush dan highlighter. Penyampai mencoba tiga shade berbeda: coral flush, lazy talk, dan early now. Coral flush digunakan untuk efek lift pada tulang pipi, lazy talk untuk wajah bulat di tengah pipi, dan early now untuk penampilan drunk look di bawah mata. Tekstur produk mirip padi dan mudah diaplikasikan tanpa terlihat berlebihan. Penggunaan produk ini memberikan sheen tanpa terlihat matte dan dapat disesuaikan ke intensitas yang diinginkan. Penyampai meminta umpan balik dari audiens tentang penampilan blush yang paling disukai.
Hasil akhirnya adalah bahwa produk ini menawarkan fleksibilitas dalam aplikasi dan variasi penampilan sesuai kebutuhan, baik itu efek lift, pencahayaan wajah bulat, atau penampilan drunk look. Audiens diberi kesempatan untuk memberikan umpan balik tentang shade mana yang paling disukai, dengan harapan dapat membantu penyampai memilih shade blush yang paling cocok untuk kebutuhan mereka."
202,202.wav,Surprise," Aku udah pake Serravess Morning and Evening Moisturizers cukup lama. My skin loves these. Tapi semenjak nemu dan nyobainnya satu ini, it really is a game changer. Jadi cerita sedikit about my skin, kadang kulit aku itu membingungkan banget. One day it's dry and sensitive, and the next day it's a bit oily dan merah-merah. Tapi tetap berasa dihydrated gitu. Sungguh derita combination skin. Ini dia, star of the show. Serravess New Oil Control Moisturizing Gel Cream. Lightweight? Check. Hydrating? Check. Non-greasy? Check. Plus ini bikin kulit aku jadi lebih balance dan skin barrier-nya lebih kuat. It literally is the perfect moisturizer untuk kondisi kulit aku sekarang. Teksturnya itu very gel-like dan lightweight. Dan aku personally tuh gak suka moisturizer yang matte. Nah yang ini, walau dia oil control, tapi dia gak matte dan tetep hydrating enough. And this is my skin after 5 hours. See, gak greasy tapi tetep hydrated. Safe to say, you love this moisturizer and I think you will too. And I have to say, it's available at Serravess official store.","Penulis telah mengalami perubahan signifikan dalam perawatan kulitnya setelah mencoba Serravess New Oil Control Moisturizing Gel Cream. Sebelumnya, penulis menggunakan Serravess Morning and Evening Moisturizers, namun produk baru ini memberikan keseimbangan yang lebih baik untuk kulit campuran yang bervariasi antara kering, sensitif, berminyak, dan merah. Serravess New Oil Control Moisturizing Gel Cream sangat ringan, tidak membuat kulit terlihat berminyak, dan tetap menyediakan kelembaban yang cukup hingga 5 jam setelah pemakaian. Penulis sangat menyarankan produk ini kepada orang-orang dengan kulit campuran karena efektivitasnya dalam menjaga kelembaban tanpa meninggalkan rasa berminyak. Produk ini dapat ditemukan di toko resmi Serravess."
203,203.wav,Proud, cara bikin rambut pendek kayak gini jadi rambut Rapunzel pertama pake dulu hair clipnya ini sengaja gue taruh di atas karena abis itu gue bakal pake hair clip yang kedua geserin rambut ke kiri karena angle gue kiri lalu disatuin kayak gini dikunci dan mulai dikepang kalau udah di pertengahan tambahin lagi nih rambut palsunya yang pertama dan yang kedua biar lebih tebal kepang-kepang di ujung disematkan azek abis itu this is the fun part tinggal ditancip-tancipin aja bunga tujuh rupanya kalau bisa warnanya senada guys kayak gini nih pinkie-pinkie selang seling yang besar sama yang kecil yes this is my final look kayaknya nih looknya Rachel Goddard banget ya gak sih,"Untuk menciptakan gaya Rapunzel dengan rambut pendek, pertama-tama potong rambut ke kiri untuk sudut pandang yang ideal, lalu gabungkan dan kunci menggunakan hair clip. Untuk meningkatkan volume, tambahkan rambut palsu di bagian tengah, lalu panggul rambut di akhir dan sematkan. Finishing touch diberikan dengan menambahkan bunga berwarna pink sebesar rambut, memberikan tampilan lucu dan mirip dengan gaya Rachel Goddard. Hasil akhirnya adalah penampilan rambut yang indah dan unik, mencerminkan gaya Rapunzel dengan efektif.
Gaya Rapunzel dapat dicapai dengan langkah-langkah sederhana namun efektif. Pertama, potong rambut ke kiri untuk sudut pandang yang sempurna, kemudian gabungkan dan kunci menggunakan hair clip. Tambahkan rambut palsu di tengah untuk meningkatkan volume, lalu panggul dan sematkan rambut. Akhiri dengan menambahkan bunga berwarna pink sebesar rambut. Hasil akhirnya adalah penampilan rambut yang lucu dan unik, mencerminkan gaya klasik Rapunzel dengan sentuhan modern."
204,204.wav,Proud," cara bikin rocsatin kayak gini, jadi dress, atau dressnya lebih haram sini sini, aku kasih tau, yang penting rocnya harus punya tali kayak gini dari belakang rocnya kayak mau pake anduk, silang ke atas kayak gini disilang ke depan, dibawah belakang baru dipitakin kayak gini tak tak tak dung dung tak, nih langsung jadi dressnya eh, sebelum selesai, dah, gua buka tuh kaosnya tapi bentar, mau gua penetin dulu bagian cleveragenya eh cuman, karena badan gua setinggi sapu lidi mau gua penetin lagi, dipandekin lagi, oke, masih sopan terak tak tak dung dung tak gimana RGHX kali ini? kalo lo tim yang mana nih guys? tim yang sole hot atau yang sole hot hot hot? komen dibawah","Percakapan tersebut membahas teknik transformasi rocsat menjadi dress dengan menambahkan tali di belakangnya. Prosesnya melibatkan menyilangkan tali, memasukkannya ke bawah, dan menyetelnya rapi, serta mengangkat kaos untuk menunjukkan bagian bra. Diskusi lanjut ke preferensi tim olahraga, dengan dua opsi utama yang disebutkan adalah Sole Hot dan Sole Hot Hot Hot, yang kemungkinan besar merupakan merek pakaian olahraga."
205,205.wav,Surprise," Kalo kalian tau ga sih trend Korean flush look, aku pengen coba buat itu hari ini. Basic itu makeupnya kayak blushy banget dan bibirnya itu lebih kayak bright. Ini aku udah beres makeup, jadi tinggal pake blush sama lip produknya doang. Aku mau pake my number one favorite blush product yang aku pake sudah 5 tahun plus, yaitu blush dari Tricia E. Aku mau pake siang klasik The OG yang bulet ini. Ini mood recipe face blush dan warna paling klasik yang paling terkenal ada dulu tuh ini, Roast Beige. Menurut aku ini adalah warna blush yang tidak pernah fail. Aku pake blushnya tuh bagian center pipi aku sama aku bawa dikit ke atas idung. Diat kan warnanya tuh kayak rosy warm pink. Satu lagi tuh nude peach, dia lebih kalem warnanya. Next on to the lips, aku keseringan ngeliat trend ini, lipnya itu lebih powdery matte lipstick. Jadi aku mau pake one of the most comfortable bullet matte lipstick. Ini cashmere lipsticknya Tricia E. Dan kira-kira untuk blush kayak gini. Aku mau pake shade 01 Oat dulu. Ini aku ga pake lip balm ya. Ini yang undry lips, tekstur itu very soft. Dan dia finish-nya matte, ini 04 text me. Tapi di bagian sini aku mau pakein kayak gini, kita blend dikit. Eh sumpah ini teksturnya indah banget. Gimana berhasil ga? Ini keren flash makeup ga? Ini warna yang text me. This is such a gorgeous red color. Okay I'm in love with this look. Menurut aku ini look simple banget dan bikin keliatan lebih fresh. Taro blushnya itu di bagian center sini. Terus warna lipsnya itu yang penting bright, gak harus perah juga. Cuman aku in love banget sama warna ini.","Trend Korean flush look saat ini populer dengan kombinasi blush pekat dan lipstik cerah. Penyampai menggunakan blush Roast Beige dari Tricia E. di pipi dan sedikit ke atas hidung, lalu mengaplikasikan lipstik matte Cashmere warna 04 Text Me. Tekstur lipstik sangat lembut dan memberikan hasil akhir matte yang natural. Tampilan akhirnya terlihat segar dan sederhana, dengan warna merah lipstik yang menawan. Penyampai sangat puas dengan hasil make-up ini, yang membuatnya terlihat cerah dan segar tanpa terlalu berlebihan.
Penampilan akhir yang dicapai dengan trend Korean flush look sangat memuaskan penyampai. Teknik aplikasi blush dan lipstik yang tepat menciptakan tampilan yang segar dan alami, tanpa terlihat berlebihan. Warna merah dari lipstik matte memberikan sentuhan elegan yang sempurna untuk penampilan, sementara tekstur yang lembut dari blush memberikan nuansa naturl yang harmonis. Hasil akhirnya mencerminkan gaya makeup yang modern dan minimalis, yang sangat disukai oleh penyampai."
206,206.wav,Trust," ga bener banget nih poni ah aaaaaaaaaaa tandanya mesti dicuci say tampoi sampai ke kulit kepala nya terus mau gue blow bagian akarnya dulu dinaikin ke atas pake hairdryer yang panasnya bisa diatur ini gue pake yang sedang aja guys ini udah setengah mateng biar dia ga terlalu ngembang sekarang saatnya untuk ditarik ke bawah dan hairdryernya dari atas di bagian bawahnya diputar-putar kayak gini hampir jadi ulangin sekali lagi naikin ke atas, tarik ke bawah kalau udah di blow kayak gini disecahiain ini poni tahan 2-3 hari tergantung kegiatan masing-masing oke jangan lupa di ses dan share videonya","Teknik pengeringan poni yang baru dicuci melibatkan penggunaan hairdryer panas yang dapat diatur suaranya. Pertama, bagian akar poni dikhaskan dengan suhu tinggi, lalu poni ditarik ke bawah sambil memutar hairdryer dari atas ke bawah. Teknik ini tidak hanya membuat poni tampak lebih rapi, tetapi juga dapat mempertahankan gaya hingga 2-3 hari, tergantung pada tingkat aktivitas. Penulis percaya bahwa metode ini sangat efektif dan merekomendasikan untuk dicoba, serta menyarankan untuk membagikan hasilnya melalui video untuk mendapatkan umpan balik."
207,207.wav,Proud, guys aku happy banget karena kali ini aku baru aja beli soplins baru dan ini dia hasilnya setelah aku pake warnanya cantik banget tapi wait wait wait kok agak berasa gak nyaman gitu ya lumayan perih dan ganjil banget dan aku lihat disini dia gak ada nomor AKLnya jangan jangan dia soplins abal abang please kalau udah kayak gini gak usah dipake kita cari yang aman-aman aja mending pake dari luvuble aja karena dia udah approved by kemenkes re dan udah jelas ada info nomor AKLnya dan disini aku punya dua warna yang bakalan aku try on dua-duanya oke untuk yang pertama ini adalah warna dari Intimisty dia tuh warnanya lebih ke gray pas dipake hasilnya kayak gini cakep banget keliatan natural dan gak lebay sama sekali dan ini untuk warna serapi karamelnya kalau ini warnanya lebih keberang dan dia gak kelah cakep dong sama yang tadi dan jujur aku suka banget sama warna yang ini kalian sadar gak sih kalau warna soplinsnya tuh matching banget sama outfit yang aku pake dan ini untuk perbandingan kedua warnanya di mata aku semuanya sama-sama cantik sih dan yang jelas dia nyaman banget dipakenya dan udah terjamin aman dan buat kalian yang masih gak nyaman pake soplins udah saatnya kalian sih berali ke luvuble kalian bisa check out tikerenjangkuninqul,"Penulis sangat senang dengan soplins baru yang dibeli, tetapi merasa tidak nyaman saat menggunakannya karena tidak memiliki nomor AKL dan penulis khawatir tentang kualitasnya. Oleh karena itu, penulis merekomendasikan menggunakan soplins Luvuble yang telah disetujui oleh Kementerian Kesehatan dan memiliki informasi nomor AKL lengkap. Penulis juga menunjukkan dua warna soplins Luvuble yang dia coba, yaitu Intimisty (warna gray) dan Serapi (warna coklat berang), dan menyatakan bahwa keduanya nyaman dan aman untuk digunakan.
Dalam kesimpulannya, penulis menyarankan penggunaan soplins Luvuble sebagai alternatif yang lebih aman dan terpercaya, berdasarkan pengalaman pribadi dan persetujuan resmi dari Kemenkes. Penulis percaya bahwa soplins Luvuble tidak hanya memenuhi standar kualitas, tetapi juga memberikan kenyamanan dan keamanan kepada pengguna."
208,208.wav,Trust," Guys, aku udah selesai make up-an, cuma aku belum pake lip product. Udah lumayan lama aku nggak pake lip vinyl untuk kuluk bibir aku dan aku rindu banget pake lipstick ini. Dan disini aku punya 5 shades, kan aku mau swatches kalian bantuin pilihan aku. Shade mana yang paling bagus dan paling cocok sama look ini. First aku mau swatch yang shade 100 charm, jangan lupa di-shade dulu sebelum dipake. Dan kalau pake ini aku nggak pernah pake lip liner, karena ini mudah banget untuk nge-overline lips. Tapi seperti biasa sebelum dia nge-set, aku akan blur bagian luarnya. Hal yang aku paling suka dari lip vinyl itu dia pigment banget dan dia nge-blur bibir banget. Garisnya kayak nggak terlalu kelihatan, bibirnya kayak lebih smooth dan soft. Ini harus didiming 5-8 menitan dulu sampai dia nge-set. Next shade itu 15 peachy. I also love this color, menurut aku ini cocok juga sama make up-nya lagi. Kayaknya warna nude-nya bakal paling cocok untuk look ini. Third shade itu nomor 10 lippy. Tapi karena ini warnanya bold, jadi aku pakenya nggak apa-apa belantakan aja. Kita akan blend lagi. Next ini nomor 30 unrevealed. Wah ini warna cantik banget. Nah aku rasa ini warna cocok banget untuk make up ini. Last shade itu 35 cheeky. Ini menurut aku adalah warna nude terperfect buat skin tone aku. Fault di bawah, shade mana yang paling cocok buat aku. Ini tuh si Maybelline Superstay Vinyl Ink The OG Vinyl Lipstick. Benar-benar transfer proof kayak nggak ada apapun. This is a sign for you to try. Cus cobain.","Wanita tersebut melakukan penelitian mendalam pada lima opsi shade lipstick: 100 Charm, 15 Peachy, 10 Lippy, 30 Unrevealed, dan 35 Cheeky. Setelah mencoba masing-masing shade dengan teknik blending dan overlining, serta mempertimbangkan tekstur yang pigmentasi tinggi dan efek smoothing pada bibir, dia akhirnya memutuskan bahwa shade 35 Cheeky adalah pilihan terbaik untuk warna nude yang sesuai dengan warna kulitnya. Dia merekomendasikan lipstick Maybelline Superstay Vinyl Ink The OG Vinyl Lipstick karena kualitasnya yang transfer-proof, menjaga warna lipstick tetap tahan lama meski dipakai sepanjang hari.
Setelah pengujian intensif, wanita tersebut menemukan bahwa shade 35 Cheeky memberikan hasil yang paling natural dan harmoni dengan warna kulitnya. Tekstur lipstick yang memiliki pigmentasi tinggi dan efek smoothing membuat bibir tampak lebih halus dan alami. Selain itu, dia memilih lipstick Maybelline Superstay Vinyl Ink The OG Vinyl Lipstick karena kualitasnya yang transfer-proof, sehingga warna lipstick tetap tahan lama dan tidak mudah hilang meski digunakan selama berjam-jam."
